index,name,category,label,description,link,definition,parameters
DecisionTree,DecisionTree,Image Classification,Decision Tree,Creates a classifier that applies the given decision tree.,https://developers.google.com/earth-engine/apidocs/ee-classifier-decisiontree,ee.Classifier.decisionTree,
DecisionTreeEnsemble,DecisionTreeEnsemble,Image Classification,Decision Tree Ensemble,Creates a classifier that applies the given decision trees.,https://developers.google.com/earth-engine/apidocs/ee-classifier-decisiontreeensemble,ee.Classifier.decisionTreeEnsemble,
RandomForest,RandomForest,Image Classification,Random Forest,Creates an empty Random Forest classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-smilerandomforest,ee.Classifier.smileRandomForest,
AmnhMaxent,AmnhMaxent,Image Classification,Maximum Entropy,Creates a Maximum Entropy classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-amnhmaxent,ee.Classifier.amnhMaxent,
GmoMaxEnt,GmoMaxEnt,Image Classification,GMO Maximum Entropy ,Creates an empty GMO Maximum Entropy classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-gmomaxent,ee.Classifier.gmoMaxEnt,
SupportVectorMachine,SupportVectorMachine,Image Classification,Support Vector Machine,Creates an empty Support Vector Machine classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-libsvm,ee.Classifier.libsvm,
CART,CART,Image Classification,Classification and Regression Trees,Creates an empty CART classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-smilecart,ee.Classifier.smileCart,
GradientTreeBoost,GradientTreeBoost,Image Classification,Gradient Tree Boost,Creates an empty Gradient Tree Boost classifier.,https://developers.google.com/earth-engine/apidocs/ee-classifier-smilegradienttreeboost,ee.Classifier.smileGradientTreeBoost,
NaiveBayes,NaiveBayes,Image Classification,Naive Bayes,Creates an empty Naive Bayes classifier. ,https://developers.google.com/earth-engine/apidocs/ee-classifier-smilenaivebayes,ee.Classifier.smileNaiveBayes,
WekaXMeans,WekaXMeans,Image Clustering,Weka X-means,X-Means is K-Means with an efficient estimation of the number of clusters.,https://developers.google.com/earth-engine/apidocs/ee-clusterer-wekaxmeans,ee.Clusterer.wekaXMeans,
WekaCascadeKMeans,WekaCascadeKMeans,Image Clustering,Weka Cascade KMeans,Cascade simple k-means,https://developers.google.com/earth-engine/apidocs/ee-clusterer-wekacascadekmeans,ee.Clusterer.wekaCascadeKMeans,
WekaCobweb,WekaCobweb,Image Clustering,Weka Cobweb,Implementation of the Cobweb clustering algorithm.,https://developers.google.com/earth-engine/apidocs/ee-clusterer-wekacobweb,ee.Clusterer.wekaCobweb,
WekaKMeans,WekaKMeans,Image Clustering,Weka K-means,Cluster data using the k means algorithm. ,https://developers.google.com/earth-engine/apidocs/ee-clusterer-wekakmeans,ee.Clusterer.wekaKMeans,
WekaLVQ,WekaLVQ,Image Clustering,Weka LVQ,A Clusterer that implements the Learning Vector Quantization algorithm.,https://developers.google.com/earth-engine/apidocs/ee-clusterer-wekalvq,ee.Clusterer.wekaLVQ,
